2020-12-31 17:31:44 | INFO      | ostDriver:ost_collection_modifyitems:35 - test_d1
2020-12-31 17:31:44 | INFO      | ostDriver:ost_collection_modifyitems:37 - TestCases/Login/test_loginActivityCase.py::TestLoginPageCase::test_d1
2020-12-31 17:31:44 | INFO      | ostDriver:ost_collection_modifyitems:35 - test_d2
2020-12-31 17:31:44 | INFO      | ostDriver:ost_collection_modifyitems:37 - TestCases/Login/test_loginActivityCase.py::TestLoginPageCase::test_d2
2020-12-31 17:32:02 | WARNING      | autoParamInjection:__read_yaml:73 - output class file path：D:\TestScriptDir\opensourcetest\opensourcetest\appmodel\ActivityObject\yamlChoice.py
2020-12-31 17:32:02 | WARNING      | autoParamInjection:__read_yaml:74 - Use the yaml path configured by mode in OST framework to retrieve
2020-12-31 17:32:02 | WARNING      | autoParamInjection:__read_yaml:75 - Output Login_activity yaml file address: D:\TestScriptDir\opensourcetest\opensourcetest\appmodel/ActivityObject\Login_activity\Login_activity.yaml
2020-12-31 17:32:02 | INFO      | autoParamInjection:__init__:30 - LoginActivityElem Yaml object injection in progress
2020-12-31 17:32:02 | INFO      | test_loginActivityCase:test_d1:20 - 用例编号编码：test_d1
2020-12-31 17:32:02 | INFO      | locate:get_locator:55 - The element positioning mode is：ANDROID_UIAUTOMATOR,The element object value is:new UiSelector().text("请输入手机号")
2020-12-31 17:32:02 | INFO      | base:find_element:16 - 输出定位器信息：('-android uiautomator', 'new UiSelector().text("请输入手机号")')
2020-12-31 17:32:02 | INFO      | base:find_element:24 - 正在定位元素信息：定位方式->-android uiautomator,value值->new UiSelector().text("请输入手机号")
2020-12-31 17:32:03 | INFO      | base:find_element:28 - 元素对象为：<appium.webdriver.webelement.WebElement (session="96b0b951-d1c0-4d7c-924e-57f2a40f46cb", element="26457a8f-9d71-4817-9d56-be18536740f1")>
2020-12-31 17:32:04 | INFO      | base:send_key:68 - 元素对象输入值成功，值为：18383398333
2020-12-31 17:32:04 | INFO      | locate:get_locator:55 - The element positioning mode is：ANDROID_UIAUTOMATOR,The element object value is:new UiSelector().text("请输入验证码")
2020-12-31 17:32:04 | INFO      | base:find_element:16 - 输出定位器信息：('-android uiautomator', 'new UiSelector().text("请输入验证码")')
2020-12-31 17:32:04 | INFO      | base:find_element:24 - 正在定位元素信息：定位方式->-android uiautomator,value值->new UiSelector().text("请输入验证码")
